Time, Voltage, Temperature 
88413,1.69635152,24.19
88536,1.69635152,24.19
88659,1.6915176,24.19
88780,1.680238,24.19
88899,1.6939346,24.19
89020,1.6858778,24.19
89141,1.6939346,24.19
89262,1.6842664,24.19
89383,1.6850721,24.19
89507,1.680238,24.19
89626,1.6915176,24.19
89747,1.6915176,24.19
89868,1.69554584,24.19
89991,1.682655,24.19
90111,1.6834607,24.19
90235,1.68990608,24.19
90358,1.6931288,24.19
90479,1.6842664,24.19
90600,1.6915176,24.19
90721,1.6874892,24.19
90842,1.6891004,24.19
90963,1.6834607,24.19
91087,1.69876852,24.19
91248,1.6810436,24.19
91370,1.6923232,24.19
91490,1.6874892,24.19
91611,1.6858778,24.19
91732,1.6891004,24.19
91853,1.6866834,24.19
91974,1.6971572,24.19
92095,1.6866834,24.19
92216,1.69796284,24.19
92339,1.6834607,24.19
92463,1.6842664,24.19
92584,1.69554584,24.19
92707,1.6818494,24.19
92828,1.6915176,24.19
92949,1.6923232,24.19
93069,1.6874892,24.19
93190,1.6891004,24.19
93311,1.6866834,24.19
93432,1.6858778,24.19
93553,1.682655,24.19
93672,1.6874892,24.19
93793,1.6874892,24.19
93914,1.6995744,24.19
94035,1.6931288,24.19
94156,1.6874892,24.12
94277,1.6834607,24.12
94401,1.6834607,24.12
94525,1.6842664,24.12
94646,1.6995744,24.12
94767,1.6931288,24.12
94888,1.6931288,24.19
95009,1.6923232,24.19
95130,1.6786266,24.19
95251,1.6971572,24.19
95372,1.6947402,24.19
95493,1.6842664,24.12
95614,1.68990608,24.12
95737,1.6858778,24.12
95858,1.69554584,24.12
95981,1.68990608,24.12
96104,1.68990608,24.12
96227,1.6850721,24.19
96351,1.69635152,24.19
96474,1.69554584,24.19
96597,1.6923232,24.19
96718,1.6834607,24.19
96844,1.69796284,24.12
96967,1.6866834,24.12
97088,1.6939346,24.12
97209,1.6874892,24.12
97329,1.6866834,24.12
97450,1.6995744,24.12
97571,1.6858778,24.12
97692,1.69554584,24.12
97815,1.6995744,24.12
97936,1.6891004,24.12
98057,1.69071168,24.19
98180,1.6931288,24.19
98301,1.6834607,24.19
98425,1.6891004,24.19
98546,1.6834607,24.19
98670,1.70038,24.12
98788,1.6850721,24.12
98912,1.6874892,24.12
99033,1.69796284,24.12
99156,1.6971572,24.12
99277,1.6995744,24.12
99398,1.6866834,24.12
99519,1.6995744,24.12
99640,1.6931288,24.12
99761,1.6923232,24.12
99881,1.69554584,24.12
100004,1.69635152,24.12
100127,1.70038,24.12
100245,1.6995744,24.12
100366,1.6850721,24.12
100490,1.69876852,24.12
100613,1.70038,24.12
100731,1.70038,24.12
100849,1.6858778,24.12
100970,1.69071168,24.12
101093,1.6971572,24.12
101214,1.6971572,24.12
101335,1.68990608,24.12
101458,1.6866834,24.12
101579,1.70199132,24.12
101702,1.6971572,24.12
101823,1.69635152,24.12
101946,1.6891004,24.12
102067,1.6866834,24.12
102188,1.7068252,24.12
102312,1.69876852,24.12
102435,1.68990608,24.12
102559,1.69635152,24.12
102682,1.70360268,24.12
102805,1.6995744,24.12
102926,1.69071168,24.12
103049,1.69554584,24.12
103172,1.69635152,24.12
103295,1.6842664,24.12
103416,1.70199132,24.12
103539,1.70279692,24.12
103662,1.6874892,24.12
103783,1.69635152,24.12
103906,1.6866834,24.12
104027,1.69071168,24.12
104150,1.69635152,24.12
104273,1.6939346,24.12
104394,1.6850721,24.12
104518,1.6850721,24.12
104642,1.69635152,24.12
104765,1.68990608,24.12
104888,1.6923232,24.12
105008,1.6971572,24.12
105129,1.68990608,24.12
105252,1.70038,24.12
105370,1.6858778,24.12
105491,1.68990608,24.12
105614,1.6866834,24.12
105735,1.6995744,24.12
105856,1.6891004,24.12
105977,1.69796284,24.12
106100,1.69635152,24.12
106223,1.6866834,24.12
106344,1.70279692,24.12
106467,1.69635152,24.12
106590,1.6891004,24.12
106711,1.69071168,24.12
106834,1.69796284,24.12
106957,1.69876852,24.12
107080,1.69796284,24.12
107203,1.6866834,24.12
107324,1.6874892,24.12
107445,1.6850721,24.12
107569,1.6866834,24.12
107694,1.6866834,24.12
107815,1.68990608,24.12
107939,1.6995744,24.12
108060,1.6971572,24.06
108181,1.70360268,24.06
108304,1.69796284,24.06
108427,1.6866834,24.06
108548,1.6915176,24.06
108669,1.69635152,24.12
108792,1.6842664,24.12
108913,1.682655,24.12
109033,1.69876852,24.12
109156,1.6850721,24.12
109280,1.68990608,24.12
109403,1.6866834,24.12
109524,1.6891004,24.12
109645,1.6995744,24.12
109766,1.6891004,24.12
109887,1.6931288,24.12
110008,1.69796284,24.12
110131,1.6995744,24.12
110252,1.6810436,24.12
110373,1.6915176,24.12
110493,1.69796284,24.12
110616,1.69876852,24.12
110739,1.682655,24.12
110859,1.6971572,24.12
110980,1.682655,24.12
